id_pessoa,id_historico_banco,id_emprestimo,idade,salario_anual,situacao_propriedade,tempo_trabalho,motivo_emprestimo,pontuacao_emprestimo,valor_solicitado,taxa_de_juros,possibilidade_inadimplencia,percentual_emprestimo_salario,eh_inadimplente,tempo_primeira_solicitacao_credito
83OBDo5r-A4tC,OubEnLZe-wDLj,FM8uNM7n-yUPf,31,110000,Mortgage,5,,D,19200,NULL,NULL,0.26,N,2
vuapM6Wp-q7r1,FSggdWZM-oovG,ZjdyUQ9p-0x7B,22,52000,Rent,6,Venture,B,10000,11.71,0,0.19,N,2
qvOkUEew-AHlI,lji8xcaf-DhkD,jGosfFS7-dLtg,23,60000,Rent,1,Education,C,11000,14.22,0,0.18,N,4
QQSLLUXU-ulq6,mKBmvPiW-w8UW,jBeKLq17-p2Bv,38,55000,Rent,9,Homeimprovement,D,3325,16.89,0,0.06,N,14
szBdiNPd-vIat,udb7sqWc-T5qs,iedonniw-Qeoe,23,75000,Own,7,Education,D,12000,12.49,0,0.16,N,4
oHi3aLmt-QE1P,95TIe3ew-tiTO,qUwNHuD1-JiLE,34,62900,Mortgage,11,Medical,A,18000,8.94,1,0.24,N,5
JbWQsGG4-dLn1,YWt1hWI2-giER,2ZvSRMsR-G4Xz,47,126000,Rent,1,Medical,A,10000,6.91,0,0.08,N,17
o8CPxzyy-BZv5,qjhafour-yFlT,BHHUzeUi-IwLJ,23,47000,Mortgage,8,Venture,A,7500,7.51,0,0.16,N,4
r7gg0Ukx-SkjG,3K230qMt-1qjk,kWJLMt5l-AoyM,25,60000,Mortgage,6,Venture,D,8400,16.89,0,0.14,N,3
CIgpq6zv-ivZ4,jbs6YNEk-hd8H,L1PAn5bR-2DEl,24,80400,Mortgage,5,Personal,A,12000,5.79,0,0.15,N,2
g1MRqxkK-J9Qs,NGiyMzn9-8c15,crUrpxPP-xEKt,28,85000,Mortgage,2,Education,A,15000,8.49,0,0.18,N,7
1PYXXwkQ-cBCH,FJygP73l-4XAm,fNPrwmOr-4Tc7,41,50780,Mortgage,14,Personal,B,6000,10.99,0,0.12,N,17
zivttnOy-kv9A,7hgHU3an-zPZd,boG9fi69-Uqoy,38,89000,Mortgage,2,Personal,A,6000,5.42,0,0.07,N,13
Af6D9iZa-cOqL,4atKuGoJ-vpH7,uqKLAfKW-nAk0,25,70000,Rent,1,Venture,A,5750,8,0,0.08,N,4
mvkJyvGc-yYuw,IKk1KTWI-y4IG,h0oDhLmM-OrEm,22,54000,Rent,4,Debtconsolidation,C,9000,15.96,0,0.17,Y,3
bRYeof0L-cqHI,0Y1a64ag-4RLW,0T2YFLWb-IZze,30,100000,Rent,13,Debtconsolidation,A,12000,7.88,0,0.12,N,9
TqMkt1FG-n6Oa,XiKZ4kpG-MQkv,Xyppv91Z-69Pk,26,78000,Mortgage,7,Venture,A,7200,6.62,0,0.09,N,4
l7Gg9RLz-Prmn,qQfsQRKi-O7CK,03qBmqz8-wOso,22,56000,Rent,5,Education,C,14000,14.35,0,0.25,Y,4
uSqf2Tog-k9Pm,4xBKdKp2-Km79,wpoXDjtR-gjbR,36,53000,Rent,5,Medical,B,5000,10.74,0,0.09,N,12
OQjTZz3f-461u,QwXcNx4l-93C1,A8p05RvB-qMW5,26,70000,Mortgage,9,Venture,A,35000,7.9,0,0.5,N,2
Ci85x6r5-W7st,CicwQQcF-Clrk,SdiRIqwz-bl4b,24,85100,Rent,3,Education,C,15000,NULL,0,0.18,Y,2
wdGbXa2N-Qnuh,Nggpr8Iy-a85p,nkAs8zn7-9Wnv,22,35000,Rent,5,Education,A,8000,7.29,0,0.23,N,2
6vfPmChu-iHcT,RJZchcG0-rlhG,7G2nTxYI-pFRt,24,54000,Mortgage,8,Venture,D,1500,14.42,1,0.03,Y,2
Lal5xfaG-yCLN,fmu1fTbz-jc99,clQz0tv6-SXKE,42,32000,Rent,5,Debtconsolidation,B,10000,11.71,1,0.31,N,14
o9Yn2ZsZ-OAmM,IW9tvdff-aEx5,c3mEtu6o-H9ec,24,40000,Rent,NULL,Personal,D,3000,17.27,1,0.07,Y,2
O5mzA8KN-wtKC,ynZydWAO-txtl,LMaq9jH1-vlN0,35,273700,Mortgage,8,Medical,D,25000,14.59,1,0.08,N,6
fnvwivqk-nzJ0,eKlLKCtf-7Hcg,RqGha87z-4A6u,26,95400,Mortgage,8,Personal,C,5000,12.68,0,0.05,N,3
wye1UqLm-dXDY,YQ6LX3K4-a8fX,1d45s3hf-Zlpm,27,105000,Rent,1,Homeimprovement,B,16000,NULL,0,0.15,N,8
dFimbEm6-MqeJ,iMZJL9pS-vRPU,t14nQyu7-LdEp,31,102000,Mortgage,5,Education,A,4000,7.88,0,0.04,N,10
JkKRmhSJ-aYOK,O5S8SkOC-Mp8B,Fzbvi8dY-W7nj,22,38004,Own,0,Venture,D,3000,12.92,0,0.08,Y,3
s7hSvu2M-fZfX,Jh1EzZe0-Rlvv,8ImsZY00-lKwZ,26,116000,Rent,10,Medical,B,19800,11.48,0,0.17,N,4
ObmrAcBx-0qnw,ezpEgpda-LtFI,uOzmdlzG-qPaG,21,36500,Rent,2,Venture,A,5500,7.51,0,0.15,N,2
FBLvtXHn-5zFI,2ZBjZwiA-hk1Y,5Yb77yvT-lgy0,26,145992,Mortgage,0,Personal,D,20000,NULL,0,0.14,Y,2
z3Ke73sT-fY5k,bNGX8c5e-XnK7,hRyF4vKu-NslC,29,53313,Rent,13,Medical,B,19850,NULL,1,0.37,N,7
wsnzdhbL-9wOY,feeFGzs8-XZcY,HYFPyTj0-GSUv,26,74000,Mortgage,9,Homeimprovement,C,1200,13.22,0,0.02,Y,4
DjLN68mw-6o78,Hd4goEjD-BOD4,vBpea1tZ-DrZm,23,112000,Mortgage,5,Personal,B,12000,11.99,0,0.11,N,3
eUiEGY4v-tSDP,vekO8KpL-bKu3,38Z1D9cY-jOUE,21,40000,Rent,6,Debtconsolidation,C,15000,14.27,1,0.38,N,3
fGOTdRSB-8508,Nm57TkGH-8BXj,A1TlrjGo-DAXJ,28,50000,Rent,1,Personal,B,4800,10.37,0,0.1,N,10
j0hkaZAi-WJpB,uOqK9td7-y2TX,34UCigpM-LcHm,29,40000,Mortgage,9,Personal,A,5000,6.99,0,0.13,N,7
8Knp74FQ-GUL7,tboFgU4p-pjAP,8ezuhXRl-5wg6,NULL,41160,Rent,2,Debtconsolidation,A,NULL,12.99,0,0.29,N,3
BYmg43Fi-Mvaj,M2sgMabi-q39B,i536G5cd-egh3,21,40000,Rent,3,Education,D,7000,14.46,0,0.17,N,3
E24tdG2E-XSjf,lSIr04Er-zx2e,aqKurn4w-Nzei,28,225000,Mortgage,11,Education,E,9000,16.95,1,0.04,Y,8
0SyYsnkP-H1X1,RvJSiigN-4LWQ,a2naLoSJ-inA4,29,50000,Mortgage,2,Medical,A,5000,NULL,0,0.1,N,6
qzS7X8AO-iNLS,SXx30qMB-lWOr,Os5UX5cm-zveK,29,71000,Mortgage,4,Homeimprovement,C,11000,13.43,0,0.15,Y,6
xR9pcmNX-ecjB,N3d29NjA-fSts,tLDrn0sg-kNRh,26,65000,Rent,4,Personal,A,8000,6.92,0,0.12,N,4
7zCf5kKF-OcpW,hmKt8iJj-olBD,qIRJ2C4m-Nvgt,44,61000,Rent,2,Debtconsolidation,D,11000,16.02,1,0.18,Y,15
YvAeLrKC-m7eP,z1Mx5CrE-zvlO,QySap8aN-6uJ8,27,99996,Mortgage,0,Venture,C,3000,12.84,0,0.03,N,10
ppt6Yckz-QLg5,uW9axBT3-Kkcb,Fgjqaiup-iI8a,25,48000,Mortgage,5,Homeimprovement,A,7800,8.94,0,0.16,N,2
vQeKi6jj-S7Mp,lxX6OwH3-4caY,UTlIhe5Z-C3Rx,28,90000,Mortgage,12,Homeimprovement,C,5000,14.79,0,0.06,Y,8
YIHuehGl-eWpc,CRO9thKh-NYDn,IHcxHFyD-ddZE,29,175000,Mortgage,2,Homeimprovement,A,10000,NULL,0,0.06,N,9
K58ydOiW-a2I3,o65QapOc-tR0Z,sxSX7s1R-Wo1r,30,36000,Rent,6,Debtconsolidation,C,4500,13.49,0,0.13,Y,6
L2ED40Pu-tqWn,xvaoWhPg-NobU,G070Tsjs-kTrB,24,80000,Mortgage,6,Homeimprovement,C,7000,14.65,0,0.09,N,4
rbyZLzGQ-rkRu,EDorPCIW-AbjL,CcCCpa0d-PITn,26,45000,Rent,0,Debtconsolidation,B,9000,10.39,0,0.2,N,2
eB24owMN-bs00,eGyztFD2-E891,6p3Hft38-mHX8,22,45000,Mortgage,1,Education,B,8000,12.53,0,0.18,N,3
0QZYaRLo-fwju,iYPWAMQT-AF64,RZSgsRRe-LluF,22,82000,Mortgage,6,Debtconsolidation,C,6000,NULL,0,0.07,N,2
3amLR3AC-LcAN,xIjSvvwD-3SAs,2LBnLfBA-WhOj,23,45000,Rent,2,Education,C,4800,13.22,0,0.11,Y,4
CuicvmGM-NmOw,OMa0jtXu-PAcl,T9aDA0k7-kx5E,25,140000,Rent,9,Education,A,20000,6.54,0,0.14,N,4
4DGaHYeZ-0nEI,m0irAyyX-XUuZ,CF6JEia3-JgDG,23,99200,Mortgage,7,Debtconsolidation,A,23000,6.91,0,0.23,N,4
KXsy9ncj-3Jls,ER2IiSpo-pu8C,Ieeq8pwl-8Gtl,22,26000,Mortgage,4,Personal,B,4000,9.25,0,0.15,N,2
DdS0CNWk-I060,GFC73S4A-pb3x,sG8pHbbH-W6zu,27,72000,Rent,4,Homeimprovement,B,20000,9.25,0,0.28,N,10
YyI8ZgqE-n60B,bvNM69uA-Bjrk,xLiTKtbf-Rnyr,22,60000,Mortgage,1,Education,B,17000,9.45,0,0.28,N,4
gTN4tllO-ZtsY,qRcJUWHv-AJlB,2DGOS6eU-RSsN,34,60000,Rent,14,Homeimprovement,C,10000,13.57,0,0.17,N,6
rqWYRwuN-H0i1,EnPda5na-s8KZ,FkfcFtvu-D9Qq,28,45000,Rent,1,Debtconsolidation,B,10000,9.91,0,0.22,N,6
rz6KYxBX-SCcJ,gngDxDmO-YH6A,rexKO1Fs-lZn3,32,19200,Rent,0,Venture,B,5000,9.99,1,0.26,N,6
09gdhdqR-kiFy,msvyb3Ok-vs15,DcAxKqOk-o2Er,25,45000,Own,5,Venture,B,10400,10.25,0,0.23,N,3
qdRmbLR7-dCdi,1oNa4ln2-5QRq,r8Fe5XFx-GoNC,37,36000,Mortgage,21,Venture,A,8000,7.88,0,0.22,N,15
J3jGNZeh-OzZE,GvqL52S8-S8OH,NaelpPC5-t2kz,26,84996,Rent,0,Medical,B,9000,11.26,0,0.11,N,2
ZzT6MWGq-NTp5,y1DRlGPY-05J3,noXdFASt-xYmY,22,57860,Mortgage,1,Education,C,20000,11.41,0,0.35,N,3
wvZ4ETy2-gheu,fQJRj3HS-Z7ET,XcNwfrJw-XBwo,24,35000,Mortgage,7,Education,A,15000,7.49,0,0.43,N,4
JlUHLUZA-rfPy,kXb3MoC4-CC80,woPqremP-ROOh,24,64000,Mortgage,8,Education,A,5000,7.88,1,0.08,N,4
Tahda0of-tGdx,tQU1oEcw-1Ho1,rlynsbSt-qkeE,34,54000,Rent,5,Medical,D,3000,15.37,1,0.06,Y,6
g1GDvUjj-IoJj,SkfqfEzL-lKFD,2hnMHX0e-caej,23,45000,Rent,1,Debtconsolidation,C,2000,13.49,0,0.04,N,2
QSi3n1uR-x95v,KptO4H6R-yYw7,4gZM9xoI-Wa0z,24,52000,Mortgage,8,Personal,B,5000,10.99,0,0.1,N,3
gBYcKqmc-sTBi,qUSgykqJ-3B8p,K0pG1MyW-rcTd,25,51300,Rent,9,Debtconsolidation,A,3600,7.49,0,0.07,N,3
3rGQazoA-kBiD,OyAAlpC6-EInU,UPSmiEGt-zbtm,22,25000,Mortgage,0,Homeimprovement,B,3000,9.99,1,0.12,N,3
Kif10v5M-iKBr,szeWxFmy-wfCB,Pv70qr19-evF1,21,17916,Rent,1,Medical,A,3000,6,1,0.17,N,3
2qL2TpcA-3UO0,yyxAqFSr-rcKu,LoQ6fSUb-Oz9B,26,108000,Mortgage,4,Personal,A,9000,5.79,0,0.08,N,2
FE0BWZlW-I2DA,69CaK92q-Ja6W,BmaIFuon-Wd4S,22,41000,Rent,6,Venture,A,5000,NULL,0,0.12,N,2
euC23Tbf-GfBO,FAiKDwiS-s2lx,n5XobqNb-poH0,NULL,113000,,7,Education,A,3600,9.99,0,0.1,N,4
AplH4Lwm-gyYK,rZoiEpPc-bciv,H7WZlXS5-Rjyu,25,90000,Mortgage,7,Debtconsolidation,A,6000,7.14,0,0.07,N,3
NrHgiiCU-XBcP,bBbpkns0-IQbP,q2Z8GsSD-L7sM,27,60000,Rent,6,Education,A,12650,NULL,0,0.21,N,9
qtemgqbK-y7Tp,DhvervTU-hGyH,FNNUKnlt-rljH,24,125375,Rent,0,Medical,C,12000,14.27,1,0.08,N,2
LmwskARR-HyA3,j3jnnG3T-iF3N,0YpSbTgj-CZKT,21,41900,Rent,2,Venture,C,16000,12.84,1,0.38,Y,2
KpgbTqmR-PM0H,J63X0dFA-STxu,ipCruesi-JaTQ,27,48000,Rent,5,Venture,B,12000,11.71,0,0.25,N,6
rij7LfZ6-gKlT,ZMhYQu6g-ZTzt,gitwnBvm-EdRA,21,9600,Own,0,Venture,B,1200,10.99,0,0.13,N,4
Ll8yTOih-I4Ex,DH535nUu-wMOn,brTIPhj4-iSci,38,30000,Rent,6,Medical,A,8000,NULL,0,0.27,N,14
U5A0YCeg-dIb4,ZuHf01Ss-ZxtT,39oyxmrD-0bvO,24,39000,Mortgage,8,Venture,A,1200,NULL,0,0.03,N,2
lR4RN8mu-fPga,XeKWY3Sp-zTrm,OAWsP7aY-dwDy,22,29004,Mortgage,6,Education,A,2500,6.91,0,0.09,N,3
Amx19jkF-tCKE,chuEnhk4-tZ9R,Ix4WNEA0-2uj2,48,110000,Mortgage,6,Education,A,6000,8.94,0,0.05,N,14
TJvond5k-OZsJ,LOrdD3hM-coOU,Sq9jFOjZ-nd4A,22,96000,Mortgage,3,Education,C,11400,13.04,0,0.12,Y,2
0tIGLjCt-hW4d,X9xyqQ1j-SArA,ysAlb77y-F3Sq,22,50000,Own,6,Medical,A,15000,8.63,0,0.3,N,2
Nvnm9CTH-C7k2,LkP2tik3-sSnx,IcetrJpU-E9fw,28,127500,Mortgage,5,Medical,E,20000,17.04,1,0.13,Y,8
2t0KNhlF-sgyP,GZKySWkk-KU5v,qaaU5wjK-6jog,23,62000,Mortgage,3,Medical,A,9000,NULL,0,0.15,N,4
SIxCl6ke-KiXh,xtMvNFLs-S3XQ,znKB7aEl-fj2Q,36,170000,Mortgage,13,Venture,A,25000,7.51,0,0.15,N,13
frMpguAW-39fy,GODe0QNN-ZKkk,hFQNlWdT-dRe3,27,120000,Mortgage,2,Venture,B,16000,12.21,0,0.13,N,5
ASFqZJGZ-UHQP,3IBSpP8g-XfhA,EmZwDSy7-YsOT,25,62604,Rent,2,Personal,A,9000,NULL,0,0.14,N,3
cY5jOqvW-OFbE,xE4EvZSN-h76y,i0mCLk4x-HSua,22,57000,Mortgage,1,Venture,A,3200,5.99,0,0.06,N,4
9oXdgps0-JS4I,dl06GuPo-mc2q,lHJyf1H8-48iq,25,26000,Rent,4,Medical,C,8000,12.87,1,0.31,Y,3
WQz1xCtg-rQBx,Wx5Mn82L-Zz8N,ccLb7jaq-h2TA,23,NULL,Rent,0,Medical,A,12000,15.68,0,NULL,Y,3
fMs6fjR8-ylAs,L0ftEy0i-Raoa,ru3oxsDC-jRa2,26,22584,Rent,NULL,Personal,A,1800,8.49,0,0.08,N,2
puFH2jId-fYn1,tiGQEEBu-EOky,4AElqFkP-JQ7j,30,20520,Rent,0,Medical,B,5000,9.99,0,0.24,N,9
MCTnkovx-OkZI,1BNbfBPb-9no0,wQFS87yA-69IY,26,59600,Mortgage,9,Venture,E,21000,16.45,1,0.35,N,2
NzsjcEnb-M4Ck,oD4S5Hcb-oRMl,Yigun4n2-xXpQ,24,54000,Rent,5,Venture,C,21600,13.49,1,0.4,N,2
IeqaKxFd-z06u,9Jws0Dti-CacT,bEGhh4QT-84ND,21,62316,Mortgage,5,Medical,A,10000,7.66,0,0.16,N,4
RCx9phN5-6v4H,NPZ9A4cA-i85i,URiDxeTv-BhBi,30,45000,Rent,1,Education,A,6000,7.51,0,0.13,N,5
4tD36gcw-IrsA,0AqDleka-pynW,HOMkG0Xw-wmAU,31,35000,Mortgage,2,Debtconsolidation,B,10225,9.99,0,0.29,N,6
85XBvmLH-QHQ9,D83lAM6m-HGFY,7qKwySdZ-DH6N,26,35000,Mortgage,10,Venture,A,6000,7.51,0,0.17,N,4
P5O9YZfF-cRYw,JDHe1NjJ-meTn,vhtMis5w-6XzU,23,57000,Rent,7,Debtconsolidation,B,10000,11.48,0,0.18,N,4
kYAmrFbp-E8O5,Aqr1Rdft-N9hr,7EWsPuUa-DpDj,23,69996,Rent,8,Education,B,13000,11.58,0,0.19,N,3
EbK8pAhP-qrNe,LXTSCpdW-veiT,oZwyvw1E-fN0S,24,50000,Rent,6,Personal,A,4000,7.66,0,0.08,N,4
DBSpFrzW-I4Nu,MPj0F0o0-sO0x,MkmlOzFC-gz80,31,60000,Rent,4,Homeimprovement,A,25000,8.9,1,0.42,N,10
KI7BqsSt-Iavt,9oWRTWUT-L49X,HvtjOceb-inOW,21,39000,Rent,4,Education,B,6000,10.38,0,0.15,N,3
zAGYhdqJ-pD7D,4pfUPfsE-8Ltp,4cXZj28b-TIKj,30,43000,Rent,1,Medical,A,3200,8,0,0.07,N,5
IMBGp6Qc-RkP6,Du30qLJU-UecW,v4YJgLey-EO1u,22,69500,Mortgage,6,Medical,C,6000,13.48,0,0.09,N,3
dwROYi6i-SmMO,LRmlhXBA-3eH7,9zl5tAXr-dhxA,42,60000,Rent,3,Homeimprovement,A,7200,5.79,0,0.12,N,11
2mFUswaL-EriQ,HqNirgxz-Yvwp,GAtwXRoZ-w5Rz,31,46000,Mortgage,5,Education,C,8000,13.49,1,0.17,Y,5
JbeZvHTA-FaNy,4HoQ7ivd-lu28,Ol2r93Od-REpt,42,101000,Mortgage,6,Debtconsolidation,F,25000,16.15,1,0.25,Y,14
idJGorH8-pOCj,fa5fEHxT-JIPg,Qp47PuY6-jfOM,24,74000,Rent,7,Education,D,8000,15.62,0,0.11,Y,2
2aabCXGX-8hnj,RUbEJKlN-Oeck,u2B5cREv-2wsy,22,26400,Mortgage,NULL,Personal,B,1000,NULL,1,0.04,N,2
yrL27Gzn-imvW,uQdCArAk-ISO3,zjwERmLe-r97O,31,65000,Mortgage,3,Debtconsolidation,A,10000,11.03,NULL,NULL,N,3
71Mt5hfG-Po21,oLwhrmE7-lHgx,aGsSWFDK-hHbI,23,51996,Rent,0,Homeimprovement,F,3400,17.58,1,0.07,N,4
EY2k9mt7-WhMx,mEkb44qu-YIlM,TS0iHRpW-YaJw,29,55000,Rent,3,Personal,B,1200,9.99,0,0.02,N,6
krmMias0-Qfp4,irzSaGQW-EkTT,Fvq7kLAH-RnIg,24,13000,Rent,4,Personal,B,4000,9.88,1,0.31,N,2
A8u528IB-qTxu,IZPykaHc-x8GL,oX7467ri-zKFt,30,46500,Mortgage,8,Venture,A,6000,7.88,0,0.13,N,8
hU9cxsFh-mEO8,k4abUXB2-inXr,oieyXa92-rPQE,28,NULL,Mortgage,8,Debtconsolidation,A,7925,15.27,0,0.26,,4
Sj7HWxNp-2mFc,mAhxaMd7-5syl,znepUziH-WlZP,30,130000,Mortgage,6,Debtconsolidation,A,10000,8.49,0,0.08,N,10
Zx2PDoqF-vBJi,QCIoQ2Z0-aFDN,8AK6FttX-HrNB,24,82000,Mortgage,8,Personal,A,6000,6.76,0,0.07,N,3
EekJzLl3-NHqI,qr65qYJw-5wk4,qtqdmrWR-cR0X,24,22000,Rent,0,Personal,C,5550,12.41,1,0.25,N,3
UjWau6ze-ZGBj,c1Es9hwF-88Zj,Q5DmyShC-z4MM,31,18000,Rent,6,Education,C,4000,12.84,1,0.22,N,5
qTFEBiKS-PloR,Pzg5SeCX-uJyr,t6NlTz2B-WrGl,24,61200,Mortgage,8,Education,C,2500,NULL,1,0.04,N,4
yd9Y5ql2-UN8S,IHizOYWZ-ZrC2,GMM67Jso-KIbb,41,83000,Mortgage,6,Homeimprovement,B,3000,11.83,0,0.04,N,12
OF8cXob1-nj0t,GMrcHk2j-sNE3,dCWWOmry-1vJJ,29,40000,Mortgage,0,Education,A,10625,6.62,0,0.27,N,5
LJB323tn-kCdL,Qi2LL2SS-zWcH,bwPpBRmT-1JUo,37,46680,Mortgage,6,Venture,D,8000,15.21,0,0.17,N,15
G2KQmH5s-9Xwc,jJcYMoQg-o6xZ,j1yIbTSY-csm7,22,130000,Mortgage,3,Venture,B,24250,12.18,0,0.19,N,4
MBj3Xjl6-IFcx,C5u17fYU-Q7fi,Tt9AvUmL-0SoA,36,55200,Rent,3,Medical,D,9900,14.84,1,0.18,Y,13
ei9fZMrv-wWtJ,a7plGS9p-5o6h,8PjoJGba-xGkR,29,48000,Mortgage,3,Personal,C,17375,14.27,0,0.36,Y,5
D5LadCUe-o1wR,vM8byJDw-bCvz,UKPsScvL-4Ch8,24,37000,Rent,8,Medical,A,6000,6.76,0,0.16,N,4
lkmbC2Qr-1Nqb,3egeG21L-fj0U,JqJmAI7a-Zo6Q,31,24000,Rent,3,Education,A,6000,8.49,0,0.25,N,5
eloerfSg-wnwb,uI9XsqZh-Nn9Z,vTuvtyiw-S7Y2,28,28000,Rent,3,Venture,A,3000,6.91,0,0.11,N,10
cFIgyzTQ-tNqB,FFmhefHG-Aio7,78iuirmR-Me9y,22,NULL,Rent,1,,C,25000,15.27,0,0.3,Y,3
WvikzddB-Fzo8,qMi6xZcZ-7pv3,NRNKsI3j-vy1N,23,85000,Rent,2,Medical,B,9600,10.99,0,0.11,N,4
lkPCb4C5-uDdP,gzugnfEW-tOXE,od8H684N-22T8,43,54000,Rent,0,Homeimprovement,D,9000,15.65,1,0.17,Y,16
Q7EDyO67-LI4X,I0bHATPC-yIXP,bqikDm84-fSMv,31,190000,Own,8,Education,A,15000,6.03,0,0.08,N,8
8ll815fx-1u6o,qX9O819l-EPZM,ddoYoKLK-0nW8,23,70000,Rent,3,Venture,A,12000,7.9,0,0.17,N,2
U1KvJMHY-tL2T,Evni9ShU-P2kQ,GPFE0xo7-aLK5,24,36000,Rent,2,Homeimprovement,D,2500,16.77,1,0.07,N,3
2YlOM1b3-YIkJ,JhJKpSZm-vE2v,FD8tLF5K-PBsh,22,96000,Rent,4,Education,B,3150,6,0,0.03,N,2
bID0K67N-vQW8,e7ynJKU7-HMr1,yr2df52L-C7Eq,25,28800,Rent,5,Personal,A,5575,6.62,0,0.19,N,4
eeeNsG03-h61e,6GYp2kvH-x55n,8iOqDmIF-tLRm,43,72800,Mortgage,7,Homeimprovement,C,20000,12.84,0,0.27,Y,12
bJ9MWfOk-xK7w,2T65fbod-4z7w,y3BfxT2n-bhd5,29,59004,Rent,0,Debtconsolidation,B,4800,11.49,1,0.08,N,7
RrrJ9QKY-KELW,OBhcjg6X-6AYp,3JARyEvA-hmFa,30,62304,Rent,3,Education,D,11000,NULL,0,0.18,N,9
yiTEC9YK-2eXh,07d7IOHY-YrZY,CStSMhui-8RX9,26,54000,Rent,3,Homeimprovement,E,13000,17.93,0,0.24,Y,2
XUPbgPA9-qSZ6,Xhf8zbbc-mTQI,1exFuZSA-fy5Q,26,38000,Rent,10,Venture,B,10000,NULL,0,0.26,N,3
sFYkXsXz-QTGf,GxMhtd4M-m413,dQNBqxsQ-M6Np,30,200000,Mortgage,5,Personal,B,20000,11.48,0,0.1,N,7
8dlnbOs5-X91q,4Q8lwcyY-Ug2n,r0gOJdBa-UQ3l,31,87504,Mortgage,14,Medical,A,12650,8.9,0,0.14,N,10
cesBt1ue-1gFP,Jy0XpP40-MxpS,GoixrHQv-KY16,26,85000,Rent,3,Homeimprovement,C,21000,13.92,0,0.25,N,3
lcttUZPf-RJKG,rYisa743-WQzH,U30nLfD2-Wqn2,24,39000,Rent,1,Debtconsolidation,D,10000,14.11,1,0.26,N,3
ulxnvgRe-DjXy,pZy1r0y2-0n1a,KhzUt8Y1-3tZk,33,18996,Rent,5,Debtconsolidation,D,3250,16.32,1,0.17,N,7
lYACUeps-EMRE,NW5u1JmK-0oN5,GMJUW1D0-IJ6w,24,61200,Mortgage,9,Medical,B,13500,10.83,1,0.19,N,2
4wRtwAOD-fdNb,tML5tppy-RyL8,p3xDLa1M-ZX8p,22,27000,Rent,3,Medical,A,2800,7.51,1,0.1,N,3
vGka2NTK-Pzva,iApKsBjC-pvLX,IlM6lhiv-azl3,28,59004,Mortgage,1,Personal,A,8000,7.37,1,0.14,N,6
jUYLf9xo-SfhO,2NIjkW02-hr8G,vkB30aBM-IGAr,32,25591,Rent,4,Venture,B,5000,10.65,0,0.2,N,9
o106NJlW-03ld,BoCZiFpk-OXaJ,7Ddc2LzG-NU3x,43,145000,Mortgage,1,Venture,A,20000,6.91,0,0.14,N,17
9BXG2OqO-H0JW,7U5uuzyZ-sQGY,ivJPdAAj-GdcI,27,40000,Rent,1,Medical,B,5000,11.99,0,0.13,N,9
sivxvMRL-1mU1,okv16GaO-5WCN,Fn8ZoQo7-uJ56,31,73000,Mortgage,4,Debtconsolidation,F,16000,19.41,1,0.22,N,7
qDBl3hP4-f1ur,zFEHh7n5-Gjvg,0xOlqW5J-QCOA,26,38400,Rent,8,Venture,D,9100,15.37,0,0.24,Y,2
TenczLdH-GbAY,wHtKRCa0-NR75,X75IPvzb-zEnl,21,24996,Rent,2,Education,E,5000,16.45,1,0.2,N,4
